# Nominal_3 (Up to date)
# 1062 data points written for 53 variables.
# Simulation warnings:
#   Implantação recuperação do dispositivo a alta velocidade (30,7 m/s)
#
# Tempo (s);Velocidade vertical (ft/s);Aceleração vertical (G);Velocidade total (ft/s);Aceleração total (G);Posição a favor do vento (ft);Posição paralela ao vento (ft);Distância lateral (ft);Direção lateral (°);Velocidade lateral (ft/s);Aceleração lateral (G);Latitude (°);Longitude (°);Aceleração gravitacional (G);Ângulo de ataque (°);Taxa de rotação (°/s);Taxa de arremesso (°/s);Taxa de guinada (°/s);Massa. (oz);Massa do propelente (oz);Momento de inércia longitudinal (lb·ft²);Momento de inércia de rotação (lb·ft²);Localização do CP (in);Localização do CG (in);Calibres da margem de estabilidade (?);Número de Mach (?);Número de Reynolds (?);Impulso (N);Força de arrasto (N);Coeficiente de arrasto (?);Coeficiente de arrasto axial (?);Coeficiente de arrasto de atrito (?);Coeficiente de arrasto de pressão (?);Coeficiente de arrasto de base (?);Coeficiente de força normal (?);Coeficiente de momento de Pitch (?);Guinada coeficiente de momento (?);Coeficiente de força lateral (?);Coeficiente do momento de rotação (?);Coeficiente forçado de rotação (?);Coeficiente de amortecimento de rotação (?);Coeficiente de arremesso de amortecimento (?);Aceleração de Coriolis (G);Comprimento de referência (in);Área de referência (in²);Orientação vertical (zênite) (°);Orientação lateral (azimute) (°);Velocidade do vento (ft/s);Temperatura do ar (°F);Pressão do ar (psi);Velocidade do som (ft/s);Passo de tempo de simulação (s);Tempo de computação (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
8.1712;772.57;-0.81471;775.73;0.81486;300.85;0.10387;300.85;0.019782;69.964;0.01562;32.941;-106.92;0.99814;0.0046269;0;-0.20066;-0.013584;971.84;12.637;313.14;5.9446;80.531;59.679;3.6526;0.71394;3.407e7;328.26;278.38;0.61981;0.61981;0.29091;0.24449;0.084407;0.0011451;0.0037198;4.1977e-4;0;0;0;0;-6.3685e-7;0.002956;5.7087;25.595;84.821;0.035754;NaN;31.642;11.057;1086.5;0.05;0.093342
8.2212;771.26;-0.84226;774.43;0.84236;304.35;0.10582;304.35;0.019921;69.989;0.012368;32.941;-106.92;0.99814;0.0027411;0;-0.1488;-0.018511;971.56;12.35;313.08;5.9442;80.524;59.675;3.6522;0.71285;3.398e7;319.01;276.64;0.61874;0.61874;0.29096;0.24346;0.084315;6.7793e-4;0.002519;-9.5911e-5;0;0;0;0;-3.5136e-7;0.002951;5.7087;25.595;84.812;0.034677;NaN;31.504;11.041;1086.4;0.05;0.093631
8.2712;769.92;-0.86963;773.09;0.86967;307.85;0.10779;307.85;0.020061;70.008;0.008466;32.941;-106.92;0.99813;7.7453e-4;0;0.13354;0.026545;971.27;12.063;313.02;5.9437;80.516;59.67;3.6518;0.71171;33887259;309.76;274.85;0.61764;0.61764;0.29101;0.2424;0.08422;1.9143e-4;0.0011503;4.4901e-4;0;0;0;0;2.8399e-7;0.0029459;5.7087;25.595;84.805;0.031124;NaN;31.367;11.025;1086.2;0.05;0.093916
8.3212;768.52;-0.8969;771.7;0.89691;311.35;0.10977;311.35;0.020201;70.021;0.0048182;32.941;-106.92;0.99813;0.0037009;0;0.16409;0.018228;970.98;11.776;312.96;5.9432;80.505;59.665;3.6506;0.71054;33793118;300.51;273.03;0.6165;0.6165;0.29106;0.24131;0.084121;9.1422e-4;0.0036161;3.0713e-4;0;0;0;0;4.3034e-7;0.0029407;5.7087;25.595;84.798;0.028618;NaN;31.229;11.008;1086.1;0.05;0.094182
8.3712;767.08;-0.92414;770.27;0.92414;314.85;0.11176;314.85;0.020337;70.029;0.0020992;32.941;-106.92;0.99813;0.0043497;0;0.22148;0.0079119;970.7;11.489;312.9;5.9427;80.495;59.66;3.6497;0.70932;33697192;291.26;271.18;0.61532;0.61532;0.29112;0.24019;0.084019;0.0010738;0.0034208;3.4027e-4;0;0;0;0;7.8692e-7;0.0029352;5.7087;25.595;84.788;0.029539;NaN;31.093;10.992;1085.9;0.05;0.094436
8.4212;765.6;-0.95135;768.8;0.95135;318.35;0.11375;318.35;0.020472;70.033;4.3744e-4;32.941;-106.92;0.99812;0.0024718;0;0.26436;-0.010469;970.41;11.202;312.84;5.9422;80.486;59.655;3.6491;0.70806;33599496;282.01;269.29;0.61412;0.61412;0.29117;0.23903;0.083914;6.0979e-4;0.0025603;1.7377e-4;0;0;0;0;1.1254e-6;0.0029296;5.7087;25.595;84.776;0.033136;NaN;30.956;10.976;1085.8;0.05;0.094591
8.4712;764.08;-0.9785;767.28;0.9785;321.86;0.11575;321.86;0.020606;70.036;8.8106e-4;32.941;-106.92;0.99812;7.2219e-4;0;-0.24764;-0.11999;970.12;10.916;312.78;5.9418;80.478;59.65;3.6485;0.70676;3.35e7;272.75;267.36;0.61288;0.61288;0.29123;0.23785;0.083806;1.7803e-4;4.7543e-4;4.4139e-4;0;0;0;0;-9.9145e-7;0.0029239;5.7087;25.595;84.762;0.036622;NaN;30.819;10.959;1085.6;0.05;0.097861
8.5212;762.51;-1.0055;765.72;1.0055;325.36;0.11779;325.36;0.020742;70.036;0.0022941;32.941;-106.92;0.99812;0.0032804;0;-0.25024;-0.036373;969.84;10.629;312.72;5.9413;80.465;59.645;3.6472;0.70542;33398859;263.5;265.4;0.61162;0.61162;0.29128;0.23664;0.083694;8.0816e-4;0.0026146;1.8553e-4;0;0;0;0;-1.0165e-6;0.0029179;5.7087;25.595;84.749;0.038732;NaN;30.683;10.943;1085.5;0.05;0.098135
8.5712;760.9;-1.0314;764.11;1.0314;328.86;0.11984;328.86;0.02088;70.033;0.0043679;32.941;-106.92;0.99811;0.0040013;0;-0.20723;-0.021048;969.55;10.342;312.66;5.9408;80.454;59.64;3.646;0.70404;33295947;254.51;263.42;0.61032;0.61032;0.29134;0.2354;0.08358;9.8507e-4;0.0035136;-2.6586e-4;0;0;0;0;-7.0006e-7;0.0029119;5.7087;25.595;84.737;0.037258;NaN;30.548;10.927;1085.3;0.05;0.098391
8.6212;759.25;-1.0492;762.47;1.0492;332.36;0.12193;332.36;0.021019;70.026;0.0066306;32.941;-106.92;0.99811;0.0024111;0;-0.1657;-0.0061225;969.28;10.071;312.6;5.9403;80.444;59.635;3.6452;0.70262;33191393;247.67;261.4;0.609;0.609;0.29141;0.23413;0.083462;5.9313e-4;0.0016881;-3.8721e-4;0;0;0;0;-4.4951e-7;0.0029056;5.7087;25.595;84.728;0.034061;NaN;30.412;10.911;1085.2;0.05;0.098668
8.6712;757.56;-1.0651;760.79;1.0652;335.86;0.12402;335.86;0.021157;70.015;0.0092572;32.941;-106.92;0.99811;6.0174e-4;0;0.13464;0.075289;969.04;9.837;312.56;5.9399;80.435;59.631;3.6442;0.70117;33085765;241.3;259.37;0.60766;0.60766;0.29147;0.23285;0.083342;1.4791e-4;2.957e-4;3.1588e-4;0;0;0;0;2.9811e-7;0.0028992;5.7087;25.595;84.72;0.031272;NaN;30.277;10.895;1085;0.05;0.098943
8.7212;755.86;-1.081;759.09;1.0811;339.36;0.12612;339.36;0.021294;70;0.011747;32.941;-106.92;0.9981;0.0031564;0;0.1755;0.011275;968.83;9.6248;312.51;5.9396;80.421;59.627;3.6425;0.6997;32979196;234.94;257.32;0.60631;0.60631;0.29153;0.23156;0.083221;7.7533e-4;0.002898;-4.2628e-7;0;0;0;0;5.0877e-7;0.0028928;5.7087;25.595;84.712;0.031561;NaN;30.142;10.879;1084.9;0.05;0.099209
8.7712;754.12;-1.0969;757.36;1.097;342.86;0.12823;342.86;0.021429;69.981;0.013566;32.941;-106.92;0.9981;0.0040271;0;0.21705;-0.0018531;968.62;9.4126;312.47;5.9392;80.409;59.624;3.641;0.6982;32871692;228.57;255.27;0.60495;0.60495;0.2916;0.23025;0.083097;9.8846e-4;0.0035832;4.1244e-4;0;0;0;0;7.8169e-7;0.0028862;5.7087;25.595;84.702;0.03394;NaN;30.007;10.862;1084.7;0.05;0.099485
8.8212;752.36;-1.1129;755.61;1.113;346.36;0.13035;346.36;0.021563;69.96;0.014577;32.941;-106.92;0.99809;0.0027839;0;0.25936;-0.026565;968.41;9.2005;312.42;5.9389;80.398;59.62;3.6398;0.69668;32763260;222.2;253.21;0.60357;0.60357;0.29166;0.22894;0.082972;6.8276e-4;0.0023354;-3.6691e-4;0;0;0;0;1.1214e-6;0.0028795;5.7087;25.595;84.69;0.037128;NaN;29.873;10.846;1084.6;0.05;0.099765
8.8712;750.58;-1.1289;753.83;1.129;349.86;0.13249;349.86;0.021697;69.938;0.015047;32.941;-106.92;0.99809;3.7338e-4;0;0.041152;-0.27658;968.19;8.9883;312.38;5.9385;80.389;59.616;3.6388;0.69513;32654102;215.84;251.14;0.60218;0.60218;0.29173;0.22761;0.082846;9.1495e-5;1.3138e-4;4.294e-4;0;0;0;0;2.8364e-8;0.0028728;5.7087;25.595;84.677;0.039196;NaN;29.739;10.831;1084.4;0.05;0.10003
8.9212;748.77;-1.145;752.03;1.1451;353.35;0.13465;353.35;0.021833;69.915;0.015546;32.941;-106.92;0.99809;0.0026662;0;-0.26315;-0.034488;967.98;8.7761;312.33;5.9382;80.375;59.613;3.637;0.69356;32546209;209.47;249.08;0.60079;0.60079;0.29179;0.22628;0.082717;6.5287e-4;0.0025054;2.9872e-4;0;0;0;0;-1.1654e-6;0.0028659;5.7087;25.595;84.663;0.039122;NaN;29.605;10.815;1084.3;0.05;0.1003
8.9712;746.93;-1.1609;750.2;1.1611;356.85;0.13683;356.85;0.02197;69.891;0.016664;32.941;-106.92;0.99808;0.0037299;0;-0.22493;-0.011332;967.77;8.5639;312.29;5.9378;80.362;59.609;3.6354;0.69197;32437385;203.11;247;0.59938;0.59938;0.29186;0.22493;0.082587;9.1263e-4;0.0032323;-4.6857e-4;0;0;0;0;-8.5561e-7;0.002859;5.7087;25.595;84.651;0.037718;NaN;29.472;10.8;1084.1;0.05;0.10062
9.0212;745.07;-1.1768;748.34;1.1769;360.34;0.13904;360.34;0.022107;69.865;0.018585;32.941;-106.92;0.99808;0.0026511;0;-0.1848;-0.0063332;967.56;8.3517;312.25;5.9374;80.351;59.605;3.6341;0.69035;32327638;196.74;244.93;0.59796;0.59796;0.29193;0.22357;0.082456;6.4813e-4;0.0020069;-1.799e-4;0;0;0;0;-5.8045e-7;0.0028519;5.7087;25.595;84.64;0.036645;NaN;29.339;10.785;1084;0.05;0.10091
9.0712;743.19;-1.1919;746.46;1.1921;363.84;0.14125;363.84;0.022244;69.835;0.020946;32.941;-106.92;0.99808;2.0766e-4;0;0;0;967.35;8.1396;312.2;5.9371;80.341;59.602;3.6329;0.68871;32216972;190.56;242.84;0.59653;0.59653;0.292;0.22221;0.082322;5.0723e-5;3.6502e-4;2.7476e-4;0;0;0;0;0;0.0028448;5.7087;25.595;84.632;0.035433;NaN;29.206;10.77;1083.9;0.05;0.10116
9.1212;741.28;-1.2012;744.55;1.2014;367.33;0.14348;367.33;0.02238;69.801;0.022782;32.941;-106.92;0.99807;0.0023676;0;0.18052;0.0078692;967.15;7.9391;312.16;5.9368;80.326;59.598;3.631;0.68704;32105441;185.95;240.75;0.59509;0.59509;0.29207;0.22083;0.082187;5.7787e-4;0.0023361;-1.1559e-4;0;0;0;0;5.5947e-7;0.0028375;5.7087;25.595;84.623;0.035324;NaN;29.074;10.755;1083.7;0.05;0.10142
9.1712;739.35;-1.2092;742.63;1.2094;370.82;0.14572;370.82;0.022515;69.764;0.023997;32.941;-106.92;0.99807;0.0035482;0;0.21843;0.0037185;966.97;7.766;312.12;5.9365;80.313;59.595;3.6292;0.68536;31993453;181.69;238.66;0.59365;0.59365;0.29214;0.21946;0.082051;8.6533e-4;0.0034632;-2.5022e-4;0;0;0;0;8.2338e-7;0.0028302;5.7087;25.595;84.613;0.036025;NaN;28.942;10.74;1083.6;0.05;0.10167
9.2212;737.41;-1.2173;740.7;1.2176;374.3;0.14796;374.3;0.022649;69.727;0.024509;32.941;-106.92;0.99807;0.0027637;0;0.25711;-5.9846e-4;966.82;7.6088;312.09;5.9362;80.301;59.592;3.6276;0.68367;31881097;177.42;236.58;0.59221;0.59221;0.29221;0.21808;0.081915;6.7343e-4;0.0022306;-3.4737e-4;0;0;0;0;1.1468e-6;0.0028229;5.7087;25.595;84.601;0.036753;NaN;28.81;10.725;1083.4;0.05;0.10193
9.2712;735.46;-1.2255;738.75;1.2258;377.79;0.15022;377.79;0.022783;69.688;0.024573;32.941;-106.92;0.99806;6.8835e-4;0;0.27377;-0.017716;966.66;7.4516;312.06;5.9359;80.29;59.59;3.6262;0.68196;31768376;173.16;234.5;0.59077;0.59077;0.29228;0.21671;0.081777;1.6758e-4;9.1546e-4;-2.2211e-4;0;0;0;0;1.3071e-6;0.0028155;5.7087;25.595;84.588;0.037668;NaN;28.679;10.71;1083.3;0.05;0.10223
9.3212;733.49;-1.2338;736.79;1.234;381.27;0.15249;381.27;0.022916;69.65;0.024576;32.941;-106.92;0.99806;0.0016235;0;-0.27049;-0.022699;966.5;7.2943;312.02;5.9357;80.277;59.587;3.6243;0.68025;31655288;168.89;232.43;0.58933;0.58933;0.29235;0.21534;0.081639;3.9494e-4;0.0015758;-3.4485e-4;0;0;0;0;-1.2828e-6;0.002808;5.7087;25.595;84.574;0.039259;NaN;28.548;10.695;1083.1;0.05;0.10252
9.3712;731.51;-1.242;734.82;1.2422;384.75;0.15478;384.75;0.02305;69.611;0.02492;32.941;-106.92;0.99806;0.0030107;0;-0.24446;-0.025395;966.34;7.1371;311.99;5.9354;80.263;59.584;3.6224;0.67851;31541834;164.63;230.36;0.58789;0.58789;0.29243;0.21397;0.081501;7.3181e-4;0.0024968;-3.6418e-4;0;0;0;0;-1.0534e-6;0.0028005;5.7087;25.595;84.561;0.041522;NaN;28.417;10.681;1083;0.05;0.10279
9.4212;729.52;-1.2502;732.83;1.2505;388.23;0.1571;388.23;0.023184;69.572;0.025848;32.941;-106.92;0.99805;0.002757;0;-0.2083;-0.033361;966.19;6.9798;311.96;5.9351;80.251;59.581;3.6207;0.67677;31428014;160.37;228.31;0.58646;0.58646;0.2925;0.2126;0.081362;6.6957e-4;0.002762;4.7245e-4;0;0;0;0;-7.6895e-7;0.002793;5.7087;25.595;84.55;0.043106;NaN;28.287;10.666;1082.8;0.05;0.10305
9.4713;727.52;-1.2584;730.83;1.2587;391.71;0.15943;391.71;0.02332;69.53;0.027299;32.941;-106.92;0.99805;0.0010051;0;-0.1746;-0.071552;966.03;6.8226;311.93;5.9349;80.24;59.579;3.6192;0.67501;31313829;156.1;226.25;0.58502;0.58502;0.29257;0.21123;0.081222;2.4387e-4;3.89e-4;-1.8347e-4;0;0;0;0;-5.4322e-7;0.0027854;5.7087;25.595;84.54;0.042631;NaN;28.157;10.651;1082.7;0.05;0.10333
9.5213;725.5;-1.2665;728.82;1.2669;395.19;0.16179;395.19;0.023457;69.486;0.028905;32.941;-106.92;0.99804;0.0013294;0;0.18925;-0.01524;965.87;6.6654;311.89;5.9346;80.227;59.576;3.6174;0.67324;31199278;151.84;224.21;0.58359;0.58359;0.29264;0.20986;0.081081;3.2229e-4;8.9358e-4;-2.9907e-4;0;0;0;0;6.4175e-7;0.0027777;5.7087;25.595;84.53;0.040647;NaN;28.028;10.636;1082.6;0.05;0.10363
9.5713;723.47;-1.2748;726.79;1.2751;398.66;0.16417;398.66;0.023594;69.44;0.030292;32.941;-106.92;0.99804;0.0029506;0;0.21266;0.017623;965.71;6.5081;311.86;5.9344;80.212;59.573;3.6154;0.67146;31084361;147.57;222.17;0.58216;0.58216;0.29272;0.2085;0.08094;7.1478e-4;0.0025736;3.2468e-4;0;0;0;0;8.1486e-7;0.00277;5.7087;25.595;84.52;0.037458;NaN;27.898;10.622;1082.4;0.05;0.10421
9.6213;721.42;-1.2831;724.75;1.2835;402.13;0.16655;402.13;0.02373;69.392;0.031159;32.941;-106.92;0.99804;0.0030341;0;0.24921;0.019749;965.56;6.3509;311.83;5.9341;80.2;59.57;3.6137;0.66966;30969079;143.31;220.13;0.58072;0.58072;0.29279;0.20713;0.080798;7.3439e-4;0.0021589;-2.9599e-4;0;0;0;0;1.1253e-6;0.0027623;5.7087;25.595;84.509;0.036694;NaN;27.77;10.607;1082.3;0.05;0.10472
9.6713;719.36;-1.291;722.7;1.2914;405.6;0.16894;405.6;0.023865;69.342;0.031486;32.941;-106.92;0.99803;0.0016;0;0.27434;0.023205;965.4;6.1937;311.79;5.9338;80.188;59.568;3.6121;0.66785;30853431;139.17;218.11;0.57929;0.57929;0.29287;0.20577;0.080655;3.8693e-4;0.0013998;8.6191e-6;0;0;0;0;1.3715e-6;0.0027545;5.7087;25.595;84.496;0.03788;NaN;27.641;10.593;1082.1;0.05;0.10509
9.7213;717.29;-1.2952;720.63;1.2956;409.06;0.17134;409.06;0.023998;69.293;0.031237;32.941;-106.92;0.99803;5.3834e-4;0;-0.28113;-0.019422;965.25;6.0446;311.76;5.9336;80.176;59.565;3.6105;0.66603;30737449;136.03;216.09;0.57786;0.57786;0.29294;0.20441;0.080512;1.3007e-4;5.4726e-4;-3.5181e-4;0;0;0;0;-1.4485e-6;0.0027466;5.7087;25.595;84.482;0.040211;NaN;27.513;10.578;1082;0.05;0.10543
9.7713;715.22;-1.2987;718.56;1.2991;412.53;0.17375;412.53;0.024132;69.244;0.031038;32.941;-106.92;0.99803;0.0023369;0;-0.26726;-0.02562;965.12;5.9147;311.74;5.9334;80.162;59.563;3.6084;0.6642;30621389;133.12;214.08;0.57644;0.57644;0.29302;0.20306;0.080369;5.6418e-4;0.0023098;4.2571e-4;0;0;0;0;-1.3167e-6;0.0027387;5.7087;25.595;84.468;0.042783;NaN;27.385;10.564;1081.8;0.05;0.10577
9.8213;713.13;-1.3022;716.48;1.3025;415.99;0.17618;415.99;0.024265;69.194;0.031225;32.941;-106.92;0.99802;0.002989;0;-0.24021;-0.028014;965;5.7959;311.71;5.9332;80.148;59.561;3.6064;0.66237;30505306;130.2;212.08;0.57503;0.57503;0.29309;0.20171;0.080225;7.2103e-4;0.0024279;3.2438e-4;0;0;0;0;-1.0698e-6;0.0027308;5.7087;25.595;84.455;0.044107;NaN;27.258;10.549;1081.7;0.05;0.10611
9.8713;711.04;-1.3056;714.4;1.306;419.45;0.17863;419.45;0.0244;69.145;0.031889;32.941;-106.92;0.99802;0.0021699;0;-0.21306;-0.026273;964.88;5.6771;311.69;5.933;80.136;59.559;3.6046;0.66052;30389197;127.29;210.1;0.57362;0.57362;0.29316;0.20037;0.080082;5.2298e-4;0.0020741;-2.5587e-4;0;0;0;0;-8.4653e-7;0.0027229;5.7087;25.595;84.444;0.043003;NaN;27.131;10.535;1081.6;0.05;0.10649
9.9213;708.95;-1.3091;712.31;1.3095;422.9;0.18109;422.9;0.024535;69.093;0.032901;32.941;-106.92;0.99802;2.7354e-4;0;-0.20137;0.018201;964.76;5.5583;311.66;5.9328;80.125;59.556;3.603;0.65868;30273059;124.38;208.14;0.57222;0.57222;0.29324;0.19904;0.079938;6.587e-5;1.0058e-5;2.5438e-4;0;0;0;0;-7.6066e-7;0.002715;5.7087;25.595;84.433;0.040735;NaN;27.004;10.52;1081.4;0.05;0.10721
9.9713;706.85;-1.3126;710.21;1.3131;426.36;0.18357;426.36;0.024669;69.04;0.033923;32.941;-106.92;0.99801;0.0016782;0;0.20747;0.036413;964.65;5.4395;311.64;5.9326;80.111;59.554;3.6009;0.65683;30156890;121.46;206.18;0.57082;0.57082;0.29331;0.19771;0.079795;4.0379e-4;0.0010278;1.794e-4;0;0;0;0;8.1219e-7;0.002707;5.7087;25.595;84.423;0.03856;NaN;26.878;10.506;1081.3;0.05;0.10784
10.021;704.74;-1.3162;708.11;1.3167;429.81;0.18606;429.81;0.024803;68.986;0.034719;32.941;-106.92;0.99801;0.0029114;0;0.22763;0.033249;964.53;5.3207;311.61;5.9324;80.097;59.552;3.5989;0.65497;30040686;118.55;204.24;0.56944;0.56944;0.29339;0.1964;0.079651;6.9994e-4;0.0020955;-4.1739e-4;0;0;0;0;9.8353e-7;0.002699;5.7087;25.595;84.412;0.037123;NaN;26.752;10.492;1081.1;0.05;0.10839
10.071;702.63;-1.3199;706;1.3204;433.26;0.18854;433.26;0.024934;68.931;0.035153;32.941;-106.92;0.99801;0.0029745;0;0.2537;0.036012;964.41;5.2019;311.59;5.9322;80.084;59.55;3.597;0.6531;29924445;115.64;202.31;0.56805;0.56805;0.29346;0.19508;0.079507;7.1452e-4;0.0026611;4.6621e-4;0;0;0;0;1.229e-6;0.002691;5.7087;25.595;84.4;0.036949;NaN;26.627;10.478;1081;0.05;0.11206
10.121;700.51;-1.3237;703.89;1.3241;436.7;0.19103;436.7;0.025064;68.875;0.035197;32.941;-106.92;0.998;0.0017417;0;0.28055;0.035655;964.29;5.083;311.56;5.932;80.073;59.548;3.5953;0.65123;29808164;112.73;200.4;0.56668;0.56668;0.29354;0.19378;0.079363;4.1802e-4;0.0019613;2.5279e-4;0;0;0;0;1.512e-6;0.002683;5.7087;25.595;84.386;0.038875;NaN;26.502;10.463;1080.9;0.05;0.11221
10.171;698.39;-1.3272;701.77;1.3277;440.14;0.19353;440.14;0.025192;68.819;0.034981;32.941;-106.92;0.998;3.1067e-4;0;-0.2831;-0.074206;964.17;4.9642;311.54;5.9318;80.061;59.546;3.5937;0.64935;29691841;109.89;198.49;0.56531;0.56531;0.29361;0.19248;0.07922;7.4496e-5;3.3853e-5;-1.3487e-4;0;0;0;0;-1.549e-6;0.0026749;5.7087;25.595;84.372;0.042492;NaN;26.377;10.449;1080.7;0.05;0.11236
10.221;696.26;-1.3285;699.65;1.3289;443.58;0.19603;443.58;0.025321;68.764;0.034625;32.941;-106.92;0.998;0.0021119;0;-0.27588;-0.045236;964.06;4.8509;311.51;5.9316;80.047;59.544;3.5916;0.64747;29575492;107.68;196.6;0.56395;0.56395;0.29369;0.19119;0.079076;5.0602e-4;0.0022882;-3.0056e-5;0;0;0;0;-1.4799e-6;0.0026669;5.7087;25.595;84.358;0.045845;NaN;26.253;10.435;1080.6;0.05;0.11272
10.271;694.13;-1.3292;697.52;1.3297;447.02;0.19856;447.02;0.02545;68.709;0.034584;32.941;-106.92;0.99799;0.0027348;0;-0.24939;-0.043462;963.96;4.7505;311.49;5.9314;80.034;59.542;3.5896;0.64558;29459275;105.61;194.73;0.5626;0.5626;0.29376;0.18991;0.078932;6.5474e-4;0.0024892;2.0427e-4;0;0;0;0;-1.2167e-6;0.0026588;5.7087;25.595;84.344;0.047163;NaN;26.129;10.421;1080.5;0.05;0.11298
10.321;692;-1.33;695.39;1.3305;450.45;0.20111;450.45;0.025581;68.654;0.034951;32.941;-106.92;0.99799;0.0020007;0;-0.22758;-0.040078;963.86;4.6575;311.47;5.9312;80.022;59.541;3.5878;0.64369;29343220;103.54;192.87;0.56126;0.56126;0.29384;0.18863;0.078789;4.7859e-4;0.001367;4.473e-4;0;0;0;0;-1.0194e-6;0.0026507;5.7087;25.595;84.332;0.045846;NaN;26.005;10.407;1080.3;0.05;0.11323
10.371;689.86;-1.3308;693.26;1.3313;453.88;0.20368;453.88;0.025712;68.598;0.03559;32.941;-106.92;0.99799;3.703e-4;0;-0.20954;0.059174;963.77;4.5645;311.45;5.9311;80.011;59.539;3.5861;0.6418;29227324;101.48;191.03;0.55993;0.55993;0.29391;0.18737;0.078645;8.8504e-5;-1.1525e-4;4.5733e-4;0;0;0;0;-8.6955e-7;0.0026426;5.7087;25.595;84.321;0.041869;NaN;25.882;10.393;1080.2;0.05;0.11351
10.421;687.73;-1.3317;691.13;1.3322;457.31;0.20626;457.31;0.025842;68.54;0.036293;32.941;-106.92;0.99798;0.0015866;0;0.20696;0.081283;963.68;4.4715;311.43;5.9309;79.997;59.537;3.584;0.63991;29111582;99.408;189.2;0.5586;0.5586;0.29399;0.18611;0.078503;3.7891e-4;9.3062e-4;4.3877e-4;0;0;0;0;8.5349e-7;0.0026345;5.7087;25.595;84.31;0.037736;NaN;25.759;10.379;1080;0.05;0.11378
10.471;685.59;-1.3326;689;1.3331;460.74;0.20884;460.74;0.02597;68.482;0.036837;32.941;-106.92;0.99798;0.0028761;0;0.23556;0.0511;963.58;4.3785;311.41;5.9308;79.984;59.536;3.5819;0.63802;28995991;97.34;187.39;0.55729;0.55729;0.29406;0.18487;0.07836;6.8632e-4;0.0025874;3.5545e-4;0;0;0;0;1.1125e-6;0.0026264;5.7087;25.595;84.299;0.036686;NaN;25.637;10.365;1079.9;0.05;0.11403
10.521;683.45;-1.3337;686.87;1.3342;464.16;0.21141;464.16;0.026097;68.423;0.037026;32.941;-106.92;0.99798;0.0029191;0;0.26667;0.032765;963.49;4.2855;311.39;5.9306;79.971;59.534;3.58;0.63612;28880547;95.272;185.59;0.55598;0.55598;0.29413;0.18363;0.078218;6.9602e-4;0.0022582;5.6818e-5;0;0;0;0;1.4346e-6;0.0026183;5.7087;25.595;84.286;0.038978;NaN;25.515;10.351;1079.8;0.05;0.11428
10.571;681.31;-1.3348;684.73;1.3353;467.58;0.21399;467.58;0.026222;68.364;0.036894;32.941;-106.92;0.99797;0.0018347;0;0.28918;-0.0071129;963.4;4.1925;311.37;5.9305;79.96;59.532;3.5783;0.63422;28765245;93.204;183.81;0.55469;0.55469;0.29421;0.1824;0.078076;4.371e-4;0.0012398;-4.6553e-4;0;0;0;0;1.6976e-6;0.0026102;5.7087;25.595;84.272;0.043071;NaN;25.393;10.338;1079.6;0.05;0.11465
10.621;679.17;-1.336;682.6;1.3365;471;0.21658;471;0.026346;68.306;0.036605;32.941;-106.92;0.99797;4.4624e-4;0;0.11565;-0.2739;963.31;4.0995;311.35;5.9303;79.949;59.531;3.5767;0.63232;2.865e7;91.136;182.04;0.5534;0.5534;0.29428;0.18118;0.077934;1.0622e-4;-1.174e-4;-1.2474e-4;0;0;0;0;2.7322e-7;0.002602;5.7087;25.595;84.257;0.047628;NaN;25.272;10.324;1079.5;0.05;0.11492
10.671;677.02;-1.3372;680.46;1.3377;474.41;0.21919;474.41;0.026472;68.248;0.036358;32.941;-106.92;0.99797;0.0015315;0;-0.26166;-0.12738;963.21;4.0065;311.33;5.9302;79.936;59.529;3.5747;0.63042;28535054;89.067;180.29;0.55212;0.55212;0.29436;0.17997;0.077792;3.6427e-4;8.0384e-4;-2.8186e-4;0;0;0;0;-1.4074e-6;0.0025939;5.7087;25.595;84.242;0.050871;NaN;25.151;10.31;1079.4;0.05;0.11517
10.721;674.88;-1.3385;678.32;1.339;477.82;0.22182;477.82;0.026599;68.19;0.036324;32.941;-106.92;0.99796;0.0023302;0;-0.25946;-0.086786;963.12;3.9135;311.31;5.93;79.923;59.528;3.5727;0.62851;2.842e7;86.999;178.55;0.55085;0.55085;0.29443;0.17877;0.077651;5.5381e-4;0.0024517;3.1072e-4;0;0;0;0;-1.3926e-6;0.0025858;5.7087;25.595;84.228;0.051913;NaN;25.03;10.297;1079.2;0.05;0.11531
10.771;672.73;-1.3396;676.17;1.3401;481.23;0.22449;481.23;0.026728;68.132;0.036584;32.941;-106.92;0.99796;0.0020292;0;-0.24295;-0.073138;963.03;3.8205;311.3;5.9298;79.911;59.526;3.5709;0.6266;28305390;84.981;176.83;0.54959;0.54959;0.2945;0.17757;0.07751;4.8188e-4;0.0018579;4.345e-4;0;0;0;0;-1.2288e-6;0.0025776;5.7087;25.595;84.215;0.050371;NaN;24.91;10.283;1079.1;0.05;0.11546
